,position,company,city,compensation_min,compensation_max,compensation_currency
164,Data Scientist/Программист Computer Vision, Ай-Теко (I-Teco),Москва,,,
165,Data Scientist,ООО Изибрэйн,"Минск, Молодежная",,,
166,Data Scientist (г.Краснодар)," МАГНИТ, Розничная сеть",Таганрог,,,
167,Data Scientist (NLP), M-soft,Санкт-Петербург,3000.0,4000.0,RUB
168,Product Analyst / Data Analyst, Туту.ру,"Москва, Нагатинская",,,
169,Data Scientist (г.Краснодар)," МАГНИТ, Розничная сеть",Новосибирск,,,
170,Senior data scientist, Vodafone Украина,"Киев, Печерская",,,
171,Data Scientist,ООО Ак Барс Цифровые Технологии,"Казань, Козья слобода",,,
172,Data Scientist, ЛАНИТ-ТЕХНОЛОГИИ,Новосибирск,,,
173,Data scientist, Noveo,Москва,,,
174,Data Scientist, Plarium,Краснодар,,,
175,Imaging Scientist/Научный программист, InterJob (Анташкевич И. О.),Москва,,,
176,Data scientist (NLP/NLU), ДомКлик,Москва,,,
177,Data Scientist / Machine Learning Developer, ANY.RUN,Ульяновск,,,
178,Senior Data Scientist, QIWI,"Москва, Чертановская",,,
179,Data scientist, AD.RU,"Москва, Новокузнецкая",,,
180,Data Science, Grid Dynamics,Нижний Новгород,,,
181,Аналитик, Photo Lab,"Москва, Тверская и еще 2 ",100000.0,200000.0,RUB
182,Data Scientist/Machine Learn developer, Консорциум Кодекс,Санкт-Петербург,130000.0,,RUB
183,Data Scientist, Qlean,"Москва, Савеловская",,,
184,Senior data scientist, Билайн,Москва,,,
185,Data Scientist / Machine Learning Engineer ( на Кипр ), Wisebits,Москва,,,
186,Ведущий бизнес-аналитик,ООО Цифроматика,"Москва, Курская и еще 2 ",200000.0,,RUB
187,Head of QA for a Swiss AI Startup, Assaia International AG,Санкт-Петербург,3000.0,4300.0,RUB
188,IT рекрутер, OZON.ru интернет-витрина,"Москва, Деловой центр и еще 2 ",,,
189,Middle/Senior ML-инженер в Контур.Фокус, СКБ Контур,Иннополис,,,
190,Golang разработчик,ООО Специальный Технологический Центр,Санкт-Петербург,,,
191,Middle/Senior ML-инженер в Контур.Фокус, СКБ Контур,Екатеринбург,,,
192,Системный аналитик / Чат-бот, Банк Хоум Кредит,"Москва, Белорусская",100000.0,160000.0,RUB
193,Главный аналитик (CRM аналитика), Альфа-Банк,"Москва, Технопарк",,,
194,Ведущий инженер машинного обучения,ООО Газпром-медиа Развлекательное телевидение (ГПМ РТВ),"Москва, Маяковская",,,
195,Python Developer, NOVARDIS,Санкт-Петербург,,,
196,Руководитель направления/ Аналитик (Клиентская Аналитика),ПАО МТС Банк,"Москва, Технопарк",,,
197,Системный аналитик (ETL/DWH), Техносерв Консалтинг,"Москва, Автозаводская",,,
198,Support/Monitoring Engineer for a Swiss AI Startup, Assaia International AG,Санкт-Петербург,2000.0,3000.0,RUB
199,Senior Java Developer, Сбербанк для экспертов,Самара,,,
200,"Sales Development Representative (Customer-Facing, English)", DataRobot,Минск,,,
201,Middle Go Developer (GKT Team), SEMrush,Санкт-Петербург,,,
202,Middle Go Developer (GKT Team), SEMrush,Новосибирск,,,
203,Руководитель отдела технического пресейла (IT/IoT/автоматизация), Tibbo,Москва,,,
204,Head Of Growth Marketing,ООО МЕЛ Саенс,Санкт-Петербург,,,
205,Старший аналитик (ML), Инфосистемы Джет,"Москва, Савеловская",,,
206,Solution Software Architect, Luxoft,Санкт-Петербург,,,
207,AI/ML Engineer, Netcracker Technology Corp.,Воронеж,,,
208,Python Engineer (AI API), DataRobot,Минск,,,
209,Senior Java Developer, Сбербанк для экспертов,Самара,,,
210,Бизнес-аналитик клиентской базы,"ПАО МегаФон, IT",Москва,,,
211,Руководитель группы Data Analytics, GDC (ICL Services),Казань,,,
212,Technical lead R&D, IPONWEB Ltd (UK),Москва,,,
213,Business Analyst/Product Manager,ООО Перфект Арт,Москва,,,
214,Incident Manager - GFN, NVIDIA,"Москва, Марьина Роща и еще 1 ",,,
215,Senior Back-end Developer,ООО Globus.ai,Норвегия,,,
216,ETL-разработчик," Mail.Ru Group, E-commerce","Москва, Аэропорт",,,
217,Project Manager, The Ad Masters,"Киев, Печерская",,,
218,Старший Golang разработчик,ООО Специальный Технологический Центр,Санкт-Петербург,,,
219,Senior Back End Developer for Keywee (Minsk), Ciklum,Минск,,,
220,Lead React.js Engineer, Quantori,Санкт-Петербург,,,
221,Ad Operations Manager (Programmatic Sales), AdMe,Москва,,,
222,Ad Operations Manager (Programmatic Sales), AdMe,Санкт-Петербург,,,
223,Ad Operations Manager (Programmatic Sales), AdMe,Кипр,,,
224,Архитектор BigData DWH," Mail.Ru Group, Решения для бизнеса","Москва, Аэропорт",,,
225,DevOps Engineer for an AI Swiss Startup, Assaia International AG,Санкт-Петербург,2500.0,3500.0,RUB
226,Facebook Ads Manager, DELVE,"Минск, Площадь Ленина",,,
227,Technical Recruiter (Recruiting),ООО МэпДэйта,Минск,,,
228,System Engineer, VisiQuate,Харьков,,,
