,position,company,city,compensation_min,compensation_max,compensation_currency
174,CRM Data Scientist / CRM Data Analyst, Dentsu Aegis Network Russia,Москва,,,
175,Data Scientist / ML Engineer, Polymedia,Иннополис,,,
176,Lead Machine Learning Engineer/Data Scientist, Сбербанк для экспертов,Санкт-Петербург,,,
177,Senior Data Scientist, Сбербанк для экспертов,Москва,,,
178,Data Scientist, DataData,"Екатеринбург, Площадь 1905 года и еще 1 ",50000.0,120000.0,RUB
179,Senior Data Scientist, Группа компаний SRG,"Москва, Электрозаводская",,,
180,Middle/Senior Data scientist (скоринговые и ML модели корпоративных клиентов), Банк ВТБ (ПАО),Москва,,,
181,Junior разработчик C++/Research Engineer, itSeez3D,"Нижний Новгород, Горьковская",,,
182,Quantitative Researcher / Data scientist, Сбербанк для экспертов,Москва,,,
183,Data Scientist / Machine Learning Engineer, Wisebits,Кипр,,,
184,Data Scientist в проект CRM, Okko,"Санкт-Петербург, Беговая",,,
185,Data Engineer, Туту.ру,"Москва, Нагатинская",150000.0,,RUB
186,Руководитель направления по исследованию данных(Data Scientist), Сбербанк для экспертов,Москва,,,
187,Middle / Senior Data Scientist," ОТП Банк, АО (OTP bank)",Москва,180000.0,210000.0,RUB
188,Data Science, Сбербанк для экспертов,Москва,,,
189,ML Engineer/Data scientist, Samsung Research Center,"Москва, Савеловская",,,
190,Аналитик (Data Scientist),ПАО «МТС» ,Екатеринбург,,,
191,Скоринг-аналитик / Data scientist /Аналитик (скоринг), Займ-Экспресс,"Москва, Краснопресненская и еще 1 ",,,
192,Product Data Analyst, Miro (экс-RealtimeBoard),Пермь,,,
193,Data Scientist (Python/R), McKinsey & Company,"Москва, Белорусская",,,
194,Стажер - Data Scientist, Сибур,Москва,,,
195,Data scientist (управление благосостоянием), Сбербанк для экспертов,Москва,,,
196,Data Scientist, ANCOR FinTech,Екатеринбург,,,
197,Аналитик данных (Data Analyst/Data Scientist),ООО СтандартПроект,"Москва, Менделеевская и еще 3 ",,,
198,Senior Data Scientist (компьютерное зрение), Тинькофф,"Москва, Водный стадион",,,
199,Data Scientist (NLP), Платформа ОФД,"Москва, Спортивная и еще 1 ",250000.0,,RUB
200,Аналитик / Data scientist, Dentsu Aegis Network Russia,"Москва, Улица 1905 года",,,
201,Medical Advisor (temporary contract), Pfizer,Москва,,,
202,Data Scientist (FinTech),"ПАО «МТС»,IT",Москва,,,
203,Junior / Middle Data Analyst," FOZZY GROUP, Корпорация",Киев,,,
204,Big Data Engineer, Saber Interactive,Санкт-Петербург,,,
205,Специалист Oracle PL/SQL,ООО ГЕТСИЭРЭМ,"Москва, Римская и еще 1 ",160000.0,200000.0,RUB
206,Applied Data Scientist (Innovation), T-Systems RUS,"Санкт-Петербург, Василеостровская",,,
207,Data Scientist / Специалист машинного обучения, Инфосистемы Джет,Москва,,,
208,Ведущий Аналитик / Lead Analyst, Photo Lab,"Москва, Тверская и еще 2 ",,,
209,Начинающий специалист по Data Scientist (аналитик больших данных), 1C-Рарус,"Новосибирск, Маршала Покрышкина",25000.0,,RUB
210,Data Engineer - Офис," АШАН, Сеть Гипермаркетов","Москва, Красносельская",,,
211,Data Scientist, Segmento,"Санкт-Петербург, Василеостровская",,,
212,Data Engineer, ЦИАН ГРУПП,"Москва, Преображенская площадь",,,
213,Data Scientist / Аналитик данных, Медиалогия,"Москва, Дмитровская",,,
214,Аналитик данных," Командор, сеть супермаркетов",Красноярск,50000.0,,RUB
215,Data Scientist / Data Engineer, WorldQuant,Санкт-Петербург,,,
216,Data Scientist / Специалист машинного обучения, Инфосистемы Джет,Санкт-Петербург,,,
217,Data Scientist," Wargaming, Minsk (Game Stream)","Минск, Могилевская",,,
218,Senior Data scientist, QIWI,"Москва, Чертановская",,,
219,Senior Data Scientist, Miro (экс-RealtimeBoard),Пермь,,,
