,position,company,city,compensation_min,compensation_max,compensation_currency
173,Логист-аналитик,АТЛЕТИКА (Кладовая здоровья),"Санкт-Петербург,Нарвская",50000.0,60000.0,RUB
174,Бизнес-аналитик,Нордкомп,Микунь,80000.0,,RUB
175,Ведущий аналитик 1С,СТРОЙГАЗМОНТАЖ,Москва,,,
176,Аналитик 1С (Управление холдингом),Мечел,Москва,,,
177,Аналитик,PepsiCo,Москва,,,
178,Аналитик 1С,Мой район,Санкт-Петербург,90000.0,,RUB
179,Химик-аналитик,Тульская фармацевтическая фабрика,Тула,30000.0,,RUB
180,Системный аналитик БАРС Груп,ЭОС,Саратов,50000.0,,RUB
181,Экономист-аналитик,Стаффмикс,"Москва,Крылатское",50000.0,,RUB
182,Аналитик данных,Государственное учреждение сектора госуправления,"Москва,Кузнецкий мост",,,
183,Экономист-аналитик (г. Севастополь),К,Севастополь,,,
184,"Специалист, аналитик по закупкам (223-ФЗ)",,"Москва,Чистые пруды, Лубянка и ещё 1 станция",55000.0,60000.0,RUB
185,Ведущий аналитик отдела по эксплуатации пожарной и специальной техники,"Г (О) БУ ""Управление ГПСС Липецкой области""",Липецк,23000.0,25100.0,RUB
186,"Маркетолог, аналитик по ценообразованию","Группа Компаний ""Импульс""","Москва,Выхино, Кузьминки и ещё 1 станция",,,
187,HR/IT аналитик,Эй Джи Си Флэт Гласс Клин,Бор,50000.0,,RUB
188,Аналитик,"ФГБУ ""НМИЦ им. В.А. Алмазова"" Минздрава России","Санкт-Петербург,Удельная",50000.0,,RUB
189,Ведущий специалист отдел аналитики и прогнозирования образовательной деятельности,ФГБОУВПО СПбГУ,"Санкт-Петербург,Василеостровская, Спортивная и ещё 1 станция",30000.0,35000.0,RUB
190,Экономист-аналитик,ИФНС России №13 по г. Москве,Москва,30000.0,,RUB
191,Старший экономист-аналитик,"ООО ""Сухонский картонно-бумажный комбинат""",Вологда,35000.0,,RUB
192,"Руководитель интернет направления, интернет-маркетолог, интернет-аналитик",Алекспулс,Волгоград,35000.0,43000.0,RUB
193,Провизор-аналитик,СПб ГБУЗ «Детская городская больница №2 святой Марии Магдалины»,Санкт-Петербург,,,
194,Системный аналитик,"""СПб НИИФ"" Минздрава России",Санкт-Петербург,75000.0,,RUB
195,Тестировщик программного обеспечения / Аналитик / Постановщик,"НПЦ ""АИР""",Волжский,22000.0,,RUB
196,Внутренний аудитор (аналитик) со знанием английского языка,Верна,"Москва,Фрунзенская",90000.0,,RUB
197,Провизор-аналитик (м. Парк Культуры),"ГБУЗ ""Центр Лекарственного Обеспечения Департамента Здравоохранения города Москвы""","Москва,Парк Культуры",55000.0,65000.0,RUB
198,Врач-аналитик,Медицинский центр XXI век,Санкт-Петербург,40000.0,,RUB
199,Инженер химик-аналитик,"НПО ""Нефрон""","Санкт-Петербург,Проспект Ветеранов, Ленинский проспект и ещё 1 станция",40000.0,,RUB
200,Экономист / Финансовый аналитик,Лесник-Принт,Санкт-Петербург,,,
