,position,company,city,compensation_min,compensation_max,compensation_currency
139,Аналитик-консультант 1С,Лоцман Бизнес-Технологий,Владимир,,,
140,"Специалист, аналитик по кредитному риску юридических лиц","Банк ""Восточный""",Хабаровск,,,
141,Экономист-аналитик,Эником Невада групп,Хабаровск,,,
142,Системный аналитик (разработчик),Компания АЮСС,Хабаровск,100000.0,,RUB
143,ИТ-аналитик / IT-аналитик,Бубль-Гум,Владивосток,,,
144,Бизнес-аналитик / Аналитик бизнес-процессов,"""Бубль-Гум"" розничная сеть по продаже игрушек и товаров для детей",Владивосток,40000.0,45000.0,RUB
145,"Аналитик, младший аналитик",Совэкон,"Москва,Профсоюзная",,,
146,Системный аналитик (карточные продукты),Банк Русский Стандарт,"Москва,Преображенская площадь",90000.0,,RUB
147,Маркетолог-аналитик,Кадровая Служба 24,Тюмень,30000.0,40000.0,RUB
148,Системный аналитик,ЛАНИТ,Москва,,,
149,Аналитик,РЕСО-Гарантия,"Москва,Нагатинская, Верхние Котлы",,,
150,Аналитик в отдел заработной платы,Директ Кредит,Москва,55000.0,60000.0,RUB
151,Младший консультант-аналитик продуктов оформления,Независимая лаборатория ИНВИТРО,Рязань,,,
152,Главный специалист-эксперт / Аналитик по проектам в сфере образования,"Федеральное государственное научное учреждение ""Центр информационных технологий и систем органов исполнительной власти""",Москва,60500.0,,RUB
153,Аналитик CRM-кампаний,Банк Русский Стандарт,Москва,,,
154,Аналитик,Спортмастер,Железнодорожный,,,
155,Консультант (бизнес-аналитик) отдела ИТ,Главное управление кадров Министерства обороны Российской Федерации,Москва,,,
156,"Менеджер (экономист, аналитик) по закупкам",Прометей сити,Можайск,55000.0,,RUB
157,Аналитик в IT-отдел,Оптик Сити,"Москва,Университет",50000.0,,RUB
158,Логист-аналитик,АТЛЕТИКА (Кладовая здоровья),"Санкт-Петербург,Нарвская",50000.0,60000.0,RUB
159,Бизнес-аналитик,Нордкомп,Микунь,80000.0,,RUB
160,Ведущий аналитик 1С,СТРОЙГАЗМОНТАЖ,Москва,,,
161,Аналитик 1С (Управление холдингом),Мечел,Москва,,,
162,Аналитик,PepsiCo,Москва,,,
163,Аналитик 1С,Мой район,Санкт-Петербург,90000.0,,RUB
164,Химик-аналитик,Тульская фармацевтическая фабрика,Тула,30000.0,,RUB
165,Системный аналитик БАРС Груп,ЭОС,Саратов,50000.0,,RUB
166,Экономист-аналитик,Стаффмикс,"Москва,Крылатское",50000.0,,RUB
167,Ведущий аналитик (направление проектов казначейства),«Деловые Линии»,Санкт-Петербург,,,
168,Аналитик данных,Государственное учреждение сектора госуправления,"Москва,Кузнецкий мост",,,
169,Методист / Аналитик,"Социально-реабилитационный центр ""Отрадное"" г. Москвы",Москва,40000.0,,RUB
170,Аналитик-экономист,,Саратов,25000.0,40000.0,RUB
171,Аналитик-консультант 1C:ERP,НПО СПАРК,"Санкт-Петербург,Московская",60000.0,,RUB
172,Экономист-аналитик,"Банк ""Восточный""",Хабаровск,34800.0,,RUB
173,Аналитик (розничная сеть),Объединенный кондитеры,"Москва,Красносельская",70000.0,,RUB
174,Ведущий экономист (кредитный аналитик),ЖИВАГО БАНК,Рязань,30700.0,,RUB
175,"Руководитель отдела маркетинга и аналитики (замороженные полуфабрикаты, колбаса, пиво, напитки)","ООО ""МЕРИЛЕН""",Хабаровск,60000.0,,RUB
176,Экономист-аналитик (г. Севастополь),К,Севастополь,,,
177,Руководитель отдела аналитики казначейства,"Банк ""Восточный""",Москва,,,
178,Маркетолог-аналитик,Чекотова П. А. Фортуна,Иркутск,40000.0,,RUB
179,Системный аналитик,АльфаСтрахование-ОМС,Кемерово,,,
180,Маркетолог-аналитик,Эником Невада групп,Хабаровск,,,
181,"Специалист, аналитик по закупкам (223-ФЗ)",,"Москва,Чистые пруды, Лубянка и ещё 1 станция",55000.0,60000.0,RUB
182,Ведущий аналитик отдела по эксплуатации пожарной и специальной техники,"Г (О) БУ ""Управление ГПСС Липецкой области""",Липецк,23000.0,25100.0,RUB
183,"Маркетолог, аналитик по ценообразованию","Группа Компаний ""Импульс""","Москва,Выхино, Кузьминки и ещё 1 станция",,,
184,HR/IT аналитик,Эй Джи Си Флэт Гласс Клин,Бор,50000.0,,RUB
185,Аналитик,"ФГБУ ""НМИЦ им. В.А. Алмазова"" Минздрава России","Санкт-Петербург,Удельная",50000.0,,RUB
186,Ведущий специалист отдел аналитики и прогнозирования образовательной деятельности,ФГБОУВПО СПбГУ,"Санкт-Петербург,Василеостровская, Спортивная и ещё 1 станция",30000.0,35000.0,RUB
187,Экономист-аналитик,ИФНС России №13 по г. Москве,Москва,30000.0,,RUB
188,Старший экономист-аналитик,"ООО ""Сухонский картонно-бумажный комбинат""",Вологда,35000.0,,RUB
189,"Руководитель интернет направления, интернет-маркетолог, интернет-аналитик",Алекспулс,Волгоград,35000.0,43000.0,RUB
190,Провизор-аналитик,СПб ГБУЗ «Детская городская больница №2 святой Марии Магдалины»,Санкт-Петербург,,,
191,Системный аналитик,"""СПб НИИФ"" Минздрава России",Санкт-Петербург,75000.0,,RUB
192,Тестировщик программного обеспечения / Аналитик / Постановщик,"НПЦ ""АИР""",Волжский,22000.0,,RUB
193,Внутренний аудитор (аналитик) со знанием английского языка,Верна,"Москва,Фрунзенская",90000.0,,RUB
194,Провизор-аналитик (м. Парк Культуры),"ГБУЗ ""Центр Лекарственного Обеспечения Департамента Здравоохранения города Москвы""","Москва,Парк Культуры",55000.0,65000.0,RUB
195,Бизнес-аналитик,Hr-building,Москва,,,
196,Аналитик,Санкт-Петербургское государственное казенное учреждение «Центр информационного сопровождения»,"Санкт-Петербург,Петроградская",57000.0,,RUB
197,Врач-аналитик,Медицинский центр XXI век,Санкт-Петербург,40000.0,,RUB
198,Аналитик,МФТИ ГУ,"Москва,Сходненская, Алтуфьево и ещё 1 станция",52200.0,,RUB
199,Инженер химик-аналитик,"НПО ""Нефрон""","Санкт-Петербург,Проспект Ветеранов, Ленинский проспект и ещё 1 станция",40000.0,,RUB
200,Экономист / Финансовый аналитик,Лесник-Принт,Санкт-Петербург,,,
201,Маркетолог-аналитик,Холдинг Первая мебельная фабрика,"Санкт-Петербург,Лесная",65000.0,,RUB
